title,index,Abstract
Whole genome and transcriptome integrated analyses guide clinical care of pediatric poor prognosis cancers,"['2511 Accesses', '5 Altmetric']","The role for routine whole genome and transcriptome analysis (WGTA) for poor prognosis pediatric cancers remains undetermined. Here, we characterize somatic mutations, structural rearrangements, copy number variants, gene expression, immuno-profiles and germline cancer predisposition variants in children and adolescents with relapsed, refractory or poor prognosis malignancies who underwent somatic WGTA and matched germline sequencing. Seventy-nine participants with a median age at enrollment of 8.8 y (range 6 months to 21.2 y) are included. Germline pathogenic/likely pathogenic variants are identified in 12% of participants, of which 60% were not known prior. Therapeutically actionable variants are identified by targeted gene report and whole genome in 32% and 62% of participants, respectively, and increase to 96% after integrating transcriptome analyses. Thirty-two molecularly informed therapies are pursued in 28 participants with 54% achieving a clinical benefit rate; objective response or stable disease ≥6 months. Integrated WGTA identifies therapeutically actionable variants in almost all tumors and are directly translatable to clinical care of children with poor prognosis cancers."
Transcriptome and metabolome analyses reveal regulatory networks associated with nutrition synthesis in sorghum seeds,"['172 Accesses', '6 Altmetric']","Cereal seeds are vital for food, feed, and agricultural sustainability because they store and provide essential nutrients to human and animal food and feed systems. Unraveling molecular processes in seed development is crucial for enhancing cereal grain yield and quality. We analyze spatiotemporal transcriptome and metabolome profiles during sorghum seed development in the inbred line ‘BTx623’. Morphological and molecular analyses identify the key stages of seed maturation, specifying starch biosynthesis onset at 5 days post-anthesis (dpa) and protein at 10 dpa. Transcriptome profiling from 1 to 25 dpa reveal dynamic gene expression pathways, shifting from cellular growth and embryo development (1–5 dpa) to cell division, fatty acid biosynthesis (5–25 dpa), and seed storage compounds synthesis in the endosperm (5–25 dpa). Network analysis identifies 361 and 207 hub genes linked to starch and protein synthesis in the endosperm, respectively, which will help breeders enhance sorghum grain quality. The availability of this data in the sorghum reference genome line establishes a baseline for future studies as new pangenomes emerge, which will consider copy number and presence-absence variation in functional food traits."
Integrating human endogenous retroviruses into transcriptome-wide association studies highlights novel risk factors for major psychiatric conditions,"['16k Accesses', '1805 Altmetric']","Human endogenous retroviruses (HERVs) are repetitive elements previously implicated in major psychiatric conditions, but their role in aetiology remains unclear. Here, we perform specialised transcriptome-wide association studies that consider HERV expression quantified to precise genomic locations, using RNA sequencing and genetic data from 792 post-mortem brain samples. In Europeans, we identify 1238 HERVs with expression regulated in cis, of which 26 represent expression signals associated with psychiatric disorders, with ten being conditionally independent from neighbouring expression signals. Of these, five are additionally significant in fine-mapping analyses and thus are considered high confidence risk HERVs. These include two HERV expression signatures specific to schizophrenia risk, one shared between schizophrenia and bipolar disorder, and one specific to major depressive disorder. No robust signatures are identified for autism spectrum conditions or attention deficit hyperactivity disorder in Europeans, or for any psychiatric trait in other ancestries, although this is likely a result of relatively limited statistical power. Ultimately, our study highlights extensive HERV expression and regulation in the adult cortex, including in association with psychiatric disorder risk, therefore providing a rationale for exploring neurological HERV expression in complex neuropsychiatric traits."
Transcriptome profiling of fast/glycolytic and slow/oxidative muscle fibers in aging and obesity,"['898 Accesses', '10 Altmetric']","Aging and obesity pose significant threats to public health and are major contributors to muscle atrophy. The trends in muscle fiber types under these conditions and the transcriptional differences between different muscle fiber types remain unclear. Here, we demonstrate distinct responses of fast/glycolytic fibers and slow/oxidative fibers to aging and obesity. We found that in muscles dominated by oxidative fibers, the proportion of oxidative fibers remains unchanged during aging and obesity. However, in muscles dominated by glycolytic fibers, despite the low content of oxidative fibers, a significant decrease in proportion of oxidative fibers was observed. Consistently, our study uncovered that during aging and obesity, fast/glycolytic fibers specifically increased the expression of genes associated with muscle atrophy and inflammation, including Dkk3, Ccl8, Cxcl10, Cxcl13, Fbxo32, Depp1, and Chac1, while slow/oxidative fibers exhibit elevated expression of antioxidant protein Nqo-1 and downregulation of Tfrc. Additionally, we noted substantial differences in the expression of calcium-related signaling pathways between fast/glycolytic fibers and slow/oxidative fibers in response to aging and obesity. Treatment with a calcium channel inhibitor thapsigargin significantly increased the abundance of oxidative fibers. Our study provides additional evidence to support the transcriptomic differences in muscle fiber types under pathophysiological conditions, thereby establishing a theoretical basis for modulating muscle fiber types in disease treatment."
"Genetic imputation of kidney transcriptome, proteome and multi-omics illuminates new blood pressure and hypertension targets","['5119 Accesses', '2 Citations', '64 Altmetric']","Genetic mechanisms of blood pressure (BP) regulation remain poorly defined. Using kidney-specific epigenomic annotations and 3D genome information we generated and validated gene expression prediction models for the purpose of transcriptome-wide association studies in 700 human kidneys. We identified 889 kidney genes associated with BP of which 399 were prioritised as contributors to BP regulation. Imputation of kidney proteome and microRNAome uncovered 97 renal proteins and 11 miRNAs associated with BP. Integration with plasma proteomics and metabolomics illuminated circulating levels of myo-inositol, 4-guanidinobutanoate and angiotensinogen as downstream effectors of several kidney BP genes (SLC5A11, AGMAT, AGT, respectively). We showed that genetically determined reduction in renal expression may mimic the effects of rare loss-of-function variants on kidney mRNA/protein and lead to an increase in BP (e.g., ENPEP). We demonstrated a strong correlation (r = 0.81) in expression of protein-coding genes between cells harvested from urine and the kidney highlighting a diagnostic potential of urinary cell transcriptomics. We uncovered adenylyl cyclase activators as a repurposing opportunity for hypertension and illustrated examples of BP-elevating effects of anticancer drugs (e.g. tubulin polymerisation inhibitors). Collectively, our studies provide new biological insights into genetic regulation of BP with potential to drive clinical translation in hypertension."
Using genome and transcriptome data from African-ancestry female participants to identify putative breast cancer susceptibility genes,"['1442 Accesses', '1 Altmetric']","African-ancestry (AA) participants are underrepresented in genetics research. Here, we conducted a transcriptome-wide association study (TWAS) in AA female participants to identify putative breast cancer susceptibility genes. We built genetic models to predict levels of gene expression, exon junction, and 3′ UTR alternative polyadenylation using genomic and transcriptomic data generated in normal breast tissues from 150 AA participants and then used these models to perform association analyses using genomic data from 18,034 cases and 22,104 controls. At Bonferroni-corrected P < 0.05, we identified six genes associated with breast cancer risk, including four genes not previously reported (CTD-3080P12.3, EN1, LINC01956 and NUP210L). Most of these genes showed a stronger association with risk of estrogen-receptor (ER) negative or triple-negative than ER-positive breast cancer. We also replicated the associations with 29 genes reported in previous TWAS at P < 0.05 (one-sided), providing further support for an association of these genes with breast cancer risk. Our study sheds new light on the genetic basis of breast cancer and highlights the value of conducting research in AA populations."
A single-cell transcriptome atlas of human euploid and aneuploid blastocysts,['2195 Accesses'],"Aneuploidy is frequently detected in early human embryos as a major cause of early pregnancy failure. However, how aneuploidy affects cellular function remains elusive. Here, we profiled the transcriptomes of 14,908 single cells from 203 human euploid and aneuploid blastocysts involving autosomal and sex chromosomes. Nearly all of the blastocysts contained four lineages. In aneuploid chromosomes, 19.5% ± 1.2% of the expressed genes showed a dosage effect, and 90 dosage-sensitive domains were identified. Aneuploidy leads to prevalent genome-wide transcriptome alterations. Common effects, including apoptosis, were identified, especially in monosomies, partially explaining the lower cell numbers in autosomal monosomies. We further identified lineage-specific effects causing unstable epiblast development in aneuploidies, which was accompanied by the downregulation of TGF-β and FGF signaling, which resulted in insufficient trophectoderm maturation. Our work provides crucial insights into the molecular basis of human aneuploid blastocysts and may shed light on the cellular interaction during blastocyst development."
MYC phase separation selectively modulates the transcriptome,"['2734 Accesses', '1 Citations', '24 Altmetric']","Dysregulation and enhanced expression of MYC transcription factors (TFs) including MYC and MYCN contribute to the majority of human cancers. For example, MYCN is amplified up to several hundredfold in high-risk neuroblastoma. The resulting overexpression of N-myc aberrantly activates genes that are not activated at low N-myc levels and drives cell proliferation. Whether increasing N-myc levels simply mediates binding to lower-affinity binding sites in the genome or fundamentally changes the activation process remains unclear. One such activation mechanism that could become important above threshold levels of N-myc is the formation of aberrant transcriptional condensates through phase separation. Phase separation has recently been linked to transcriptional regulation, but the extent to which it contributes to gene activation remains an open question. Here we characterized the phase behavior of N-myc and showed that it can form dynamic condensates that have transcriptional hallmarks. We tested the role of phase separation in N-myc-regulated transcription by using a chemogenetic tool that allowed us to compare non-phase-separated and phase-separated conditions at equivalent N-myc levels, both of which showed a strong impact on gene expression compared to no N-myc expression. Interestingly, we discovered that only a small percentage (<3%) of N-myc-regulated genes is further modulated by phase separation but that these events include the activation of key oncogenes and the repression of tumor suppressors. Indeed, phase separation increases cell proliferation, corroborating the biological effects of the transcriptional changes. However, our results also show that >97% of N-myc-regulated genes are not affected by N-myc phase separation, demonstrating that soluble complexes of TFs with the transcriptional machinery are sufficient to activate transcription."
Proteome allocation is linked to transcriptional regulation through a modularized transcriptome,"['2759 Accesses', '2 Altmetric']","It has proved challenging to quantitatively relate the proteome to the transcriptome on a per-gene basis. Recent advances in data analytics have enabled a biologically meaningful modularization of the bacterial transcriptome. We thus investigate whether matched datasets of transcriptomes and proteomes from bacteria under diverse conditions can be modularized in the same way to reveal novel relationships between their compositions. We find that; (1) the modules of the proteome and the transcriptome are comprised of a similar list of gene products, (2) the modules in the proteome often represent combinations of modules from the transcriptome, (3) known transcriptional and post-translational regulation is reflected in differences between two sets of modules, allowing for knowledge-mapping when interpreting module functions, and (4) through statistical modeling, absolute proteome allocation can be inferred from the transcriptome alone. Quantitative and knowledge-based relationships can thus be found at the genome-scale between the proteome and transcriptome in bacteria."
Full-length transcriptome sequencing of Arabidopsis plants provided new insights into the autophagic regulation of photosynthesis,"['419 Accesses', '2 Altmetric']","Autophagy is a highly conserved eukaryotic pathway and plays a crucial role in cell survival under stress conditions. Here, we applied a full-length transcriptome approach to study an Arabidopsis autophagy mutant (atg5-1) subjected to nitrogen-starvation, using Oxford Nanopore Technologies. A total of 39,033 transcripts were identified, including 11,356 new transcripts. In addition, alternative splicing (AS) events and lncRNAs were also detected between Col-0 (WT) and atg5-1. Differentially expressed transcript enrichment showed that autophagy upregulates the expression of many stress-responsive genes and inhibits the transcription of photosynthesis-associated genes. The qRT-PCR results showed that the expression patterns of photosynthesis-related genes in the atg5-1 differed under the conditions of nitrogen starvation and carbon starvation. Under nitrogen starvation treatment, many genes related to photosynthesis also exhibited AS. Chlorophyll fluorescence images revealed that the Fv/Fm and ΦPSII of old atg5-1 leaves were significantly reduced after nitrogen starvation treatment, but the Y(NPQ) indices were significantly increased compared to those of the WT plants. The results of qRT-PCR suggest that autophagy appears to be involved in the degradation of genes related to photodamage repair in PSII. Taken together, the full-length transcriptiome sequencing provide new insights into how new transcripts, lncRNAs and alternative splicing (AS) are involved in plant autophagy through full-length transcriptome sequencing and suggest a new potential link between autophagy and photosynthesis."
Pan-transcriptome reveals a large accessory genome contribution to gene expression variation in yeast,"['7211 Accesses', '34 Altmetric']","Gene expression is an essential step in the translation of genotypes into phenotypes. However, little is known about the transcriptome architecture and the underlying genetic effects at the species level. Here we generated and analyzed the pan-transcriptome of ~1,000 yeast natural isolates across 4,977 core and 1,468 accessory genes. We found that the accessory genome is an underappreciated driver of transcriptome divergence. Global gene expression patterns combined with population structure showed that variation in heritable expression mainly lies within subpopulation-specific signatures, for which accessory genes are overrepresented. Genome-wide association analyses consistently highlighted that accessory genes are associated with proportionally more variants with larger effect sizes, illustrating the critical role of the accessory genome on the transcriptional landscape within and between populations."
"Natural Killer cells demonstrate distinct eQTL and transcriptome-wide disease associations, highlighting their role in autoimmunity","['14k Accesses', '4 Citations', '9 Altmetric']","Natural Killer cells are innate lymphocytes with central roles in immunosurveillance and are implicated in autoimmune pathogenesis. The degree to which regulatory variants affect Natural Killer cell gene expression is poorly understood. Here we perform expression quantitative trait locus mapping of negatively selected Natural Killer cells from a population of healthy Europeans (n = 245). We find a significant subset of genes demonstrate expression quantitative trait loci specific to Natural Killer cells and these are highly informative of human disease, in particular autoimmunity. A Natural Killer cell transcriptome-wide association study across five common autoimmune diseases identifies further novel associations at 27 genes. In addition to these cis observations, we find novel master-regulatory regions impacting expression of trans gene networks at regions including 19q13.4, the Killer cell Immunoglobulin-like Receptor region, GNLY, MC1R and UVSSA. Our findings provide new insights into the unique biology of Natural Killer cells, demonstrating markedly different expression quantitative trait loci from other immune cells, with implications for disease mechanisms."
Entire expressed peripheral blood transcriptome in pediatric severe malarial anemia,"['944 Accesses', '1 Altmetric']","This study on severe malarial anemia (SMA: Hb < 6.0 g/dL), a leading global cause of childhood morbidity and mortality, compares the entire expressed whole blood host transcriptome between Kenyan children (3-48 mos.) with non-SMA (Hb ≥ 6.0 g/dL, n = 39) and SMA (n = 18). Differential expression analyses reveal 1403 up-regulated and 279 down-regulated transcripts in SMA, signifying impairments in host inflammasome activation, cell death, and innate immune and cellular stress responses. Immune cell profiling shows decreased memory responses, antigen presentation, and immediate pathogen clearance, suggesting an immature/improperly regulated immune response in SMA. Module repertoire analysis of blood-specific gene signatures identifies up-regulation of erythroid genes, enhanced neutrophil activation, and impaired inflammatory responses in SMA. Enrichment analyses converge on disruptions in cellular homeostasis and regulatory pathways for the ubiquitin-proteasome system, autophagy, and heme metabolism. Pathway analyses highlight activation in response to hypoxic conditions [Hypoxia Inducible Factor (HIF)−1 target and Reactive Oxygen Species (ROS) signaling] as a central theme in SMA. These signaling pathways are also top-ranking in protein abundance measures and a Ugandan SMA cohort with available transcriptomic data. Targeted RNA-Seq validation shows strong concordance with our entire expressed transcriptome data. These findings identify key molecular themes in SMA pathogenesis, offering potential targets for new malaria therapies."
